set,source,model,n_test,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median,mbe_w_mean_final,mbe_c_mean_final,front_error_mean_cm,bt_mae_hours,n_breakthrough,run_dir
E6_extreme_peaktime_v1,regshift_iid_s42,m2_score,29,0.21225750988656292,0.19167927744277322,0.1522644821335319,0.1459765927479674,8.833290100097656,150.1656951904297,6.986547597076207,5.36,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_iid_s42
E6_extreme_peaktime_v1,regshift_ood_peak_s42,m1,29,0.25468439913436913,0.22556892618322852,0.16409415659116633,0.11804134220370069,16.7359619140625,152.73876953125,6.840398089686184,11.08,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_ood_peak_s42
E6_extreme_peaktime_v1,regshift_ood_peak_s42,m2_data,29,0.25264966673138156,0.2206835522730296,0.1648287753670346,0.11181349614824267,18.637773513793945,162.25762939453125,6.3119654417895505,8.68,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_ood_peak_s42
E6_extreme_peaktime_v1,regshift_ood_peak_s42,m2_score,29,0.25264966673138156,0.2206835522730296,0.1648287753670346,0.11181349614824267,18.637773513793945,162.25762939453125,6.3119654417895505,8.68,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_ood_peak_s42
E6_extreme_peaktime_v1,regshift_ood_time_s42,m1,29,0.29299564003743583,0.25753946079903156,0.1906687398741329,0.16874199763120473,19.066654205322266,156.46046447753906,8.579984645055,11.12,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_ood_time_s42
E6_extreme_peaktime_v1,regshift_ood_time_s42,m2_data,29,0.2901020870432628,0.2595960955723538,0.18267607540329298,0.16469796484703864,20.313549041748047,148.71559143066406,8.212521927988455,11.28,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_ood_time_s42
E6_extreme_peaktime_v1,regshift_ood_time_s42,m2_score,29,0.2901020870432628,0.2595960955723538,0.18267607540329298,0.16469796484703864,20.313549041748047,148.71559143066406,8.212521927988455,11.28,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__regshift_ood_time_s42
E6_extreme_peaktime_v1,shift_iid,m1,29,0.36869423499701026,0.32891207356812624,0.38360848174420925,0.32976055617471683,45.61115264892578,151.63075256347656,14.259447305400096,18.64,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__shift_iid
E6_extreme_peaktime_v1,shift_iid,m2_data,29,0.2840417238569576,0.27400723971934565,0.21761198426982648,0.19725272297392885,13.124701499938965,170.6443634033203,7.753349051128166,17.2,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__shift_iid
E6_extreme_peaktime_v1,shift_iid,m2_score,29,0.2857064696203791,0.2532133820069864,0.2177786323386504,0.1953988886335837,13.882750511169434,138.32449340820312,8.455502685502386,15.32,25,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peaktime_v1__shift_iid
