scenario,seed,group_type,group,model,n_samples,n_grid_cells_per_sample,c_mae
ood_peak_time,123,depth,60-100 cm,regshift,76,1960,0.024096455425024033
ood_peak_time,123,time,0-16 h,regshift,76,1616,0.021606409922242165
ood_peak_time,123,time,16-32 h,regshift,76,1616,0.023188356310129166
ood_peak_time,123,time,32-48 h,regshift,76,1717,0.022467076778411865
ood_peak_time,123,intensity,Low,regshift,19,4949,0.023752519860863686
ood_peak_time,123,intensity,Mid,regshift,38,4949,0.02146017737686634
ood_peak_time,123,intensity,High,regshift,19,4949,0.02301338128745556
ood_peak_time,456,depth,0-20 cm,regshift,76,1029,0.022343546152114868
ood_peak_time,456,depth,20-60 cm,regshift,76,1960,0.02273445762693882
ood_peak_time,456,depth,60-100 cm,regshift,76,1960,0.0234112199395895
ood_peak_time,456,time,0-16 h,regshift,76,1616,0.020558204501867294
ood_peak_time,456,time,16-32 h,regshift,76,1616,0.02589515969157219
ood_peak_time,456,time,32-48 h,regshift,76,1717,0.02234617806971073
ood_peak_time,456,intensity,Low,regshift,19,4949,0.024661710485816002
ood_peak_time,456,intensity,Mid,regshift,38,4949,0.02025916613638401
ood_peak_time,456,intensity,High,regshift,19,4949,0.026504764333367348
ood_peak_time,42,depth,0-20 cm,shift,76,1029,0.018477817997336388
ood_peak_time,42,depth,20-60 cm,shift,76,1960,0.020873403176665306
ood_peak_time,42,depth,60-100 cm,shift,76,1960,0.02322835475206375
ood_peak_time,42,time,0-16 h,shift,76,1616,0.017551256343722343
ood_peak_time,42,time,16-32 h,shift,76,1616,0.024849196895956993
ood_peak_time,42,time,32-48 h,shift,76,1717,0.021510766819119453
ood_peak_time,42,intensity,Low,shift,19,4949,0.022606737911701202
ood_peak_time,42,intensity,Mid,shift,38,4949,0.019924383610486984
ood_peak_time,42,intensity,High,shift,19,4949,0.02277635596692562
ood_peak_time,123,depth,0-20 cm,shift,76,1029,0.029005326330661774
ood_peak_time,123,depth,20-60 cm,shift,76,1960,0.027111224830150604
ood_peak_time,123,depth,60-100 cm,shift,76,1960,0.029545946046710014
ood_peak_time,123,time,0-16 h,shift,76,1616,0.02918640337884426
ood_peak_time,123,time,16-32 h,shift,76,1616,0.02973635494709015
ood_peak_time,123,time,32-48 h,shift,76,1717,0.02660183608531952
ood_peak_time,123,intensity,Low,shift,19,4949,0.028998443856835365
ood_peak_time,123,intensity,Mid,shift,38,4949,0.026597263291478157
ood_peak_time,123,intensity,High,shift,19,4949,0.03168419376015663
ood_peak_time,456,depth,0-20 cm,shift,76,1029,0.01742861606180668
ood_peak_time,456,depth,20-60 cm,shift,76,1960,0.019001729786396027
ood_peak_time,456,depth,60-100 cm,shift,76,1960,0.020335979759693146
ood_peak_time,456,time,0-16 h,shift,76,1616,0.0140857994556427
ood_peak_time,456,time,16-32 h,shift,76,1616,0.022763239219784737
ood_peak_time,456,time,32-48 h,shift,76,1717,0.02066856063902378
ood_peak_time,456,intensity,Low,shift,19,4949,0.02328263409435749
ood_peak_time,456,intensity,Mid,shift,38,4949,0.017151255160570145
ood_peak_time,456,intensity,High,shift,19,4949,0.01922711730003357
ood_peak_time,42,depth,0-20 cm,fnn,76,1029,0.0280197411775589
ood_peak_time,42,depth,20-60 cm,fnn,76,1960,0.04067976400256157
ood_peak_time,42,depth,60-100 cm,fnn,76,1960,0.04361877590417862
ood_peak_time,42,time,0-16 h,fnn,76,1616,0.022263873368501663
ood_peak_time,42,time,16-32 h,fnn,76,1616,0.045784540474414825
ood_peak_time,42,time,32-48 h,fnn,76,1717,0.04897567629814148
ood_peak_time,42,intensity,Low,fnn,19,4949,0.04841076210141182
ood_peak_time,42,intensity,Mid,fnn,38,4949,0.03618105500936508
ood_peak_time,42,intensity,High,fnn,19,4949,0.03607292100787163
ood_peak_time,123,depth,0-20 cm,fnn,76,1029,0.027012035250663757
ood_peak_time,123,depth,20-60 cm,fnn,76,1960,0.041955865919589996
ood_peak_time,123,depth,60-100 cm,fnn,76,1960,0.04809557646512985
ood_peak_time,123,time,0-16 h,fnn,76,1616,0.02280566655099392
ood_peak_time,123,time,16-32 h,fnn,76,1616,0.05001571774482727
ood_peak_time,123,time,32-48 h,fnn,76,1717,0.05044662579894066
ood_peak_time,123,intensity,Low,fnn,19,4949,0.0485212579369545
ood_peak_time,123,intensity,Mid,fnn,38,4949,0.03743506968021393
ood_peak_time,123,intensity,High,fnn,19,4949,0.04172980412840843
ood_peak_time,456,depth,0-20 cm,fnn,76,1029,0.02541547827422619
ood_peak_time,456,depth,20-60 cm,fnn,76,1960,0.04097682237625122
ood_peak_time,456,depth,60-100 cm,fnn,76,1960,0.04520636796951294
ood_peak_time,456,time,0-16 h,fnn,76,1616,0.023600846529006958
ood_peak_time,456,time,16-32 h,fnn,76,1616,0.045948922634124756
ood_peak_time,456,time,32-48 h,fnn,76,1717,0.048153262585401535
ood_peak_time,456,intensity,Low,fnn,19,4949,0.0459696389734745
ood_peak_time,456,intensity,Mid,fnn,38,4949,0.03675437718629837
ood_peak_time,456,intensity,High,fnn,19,4949,0.03818706050515175
