scenario,family,model,axis,n_bins,slope_rel_l2_c_per_rank,spearman_rank_corr,strictly_nondecreasing,rel_l2_c_by_rank
ood_peak,regshift_bounded,m1,joint_forcing_x_Ks,2,-0.5655485984524515,-0.9999999999999999,False,1:0.6867;2:0.1212
ood_peak,regshift_bounded,m1,q_top_peak,6,0.030270298673796162,0.8857142857142858,False,1:0.0948;2:0.1165;3:0.1164;4:0.2202;5:0.1457;6:0.2684
ood_peak,regshift_bounded,m1,q_top_peak_time,6,0.010921931892659026,0.5428571428571429,False,0:0.1024;3:0.1147;4:0.1724;5:0.1775;6:0.1596;7:0.1714
ood_peak,regshift_bounded,m2_data,joint_forcing_x_Ks,2,-0.7111014602848847,-0.9999999999999999,False,1:0.8211;2:0.1100
ood_peak,regshift_bounded,m2_data,q_top_peak,6,0.03419549166232209,0.942857142857143,False,1:0.0875;2:0.1072;3:0.1092;4:0.2090;5:0.1802;6:0.2631
ood_peak,regshift_bounded,m2_data,q_top_peak_time,6,0.009006372933421226,0.5428571428571429,False,0:0.0942;3:0.1076;4:0.1650;5:0.1717;6:0.1162;7:0.1648
ood_peak,regshift_bounded,m2_score,joint_forcing_x_Ks,2,-0.7111014602848847,-0.9999999999999999,False,1:0.8211;2:0.1100
ood_peak,regshift_bounded,m2_score,q_top_peak,3,0.027038511066712016,0.5,False,4:0.2090;5:0.1802;6:0.2631
ood_peak,regshift_bounded,m2_score,q_top_peak_time,4,-0.005611243492533542,-0.6000000000000001,False,4:0.1650;5:0.1717;6:0.1162;7:0.1648
ood_peak,shift_unbounded,m1,joint_forcing_x_Ks,2,-0.867723964211624,-0.9999999999999999,False,1:1.0495;2:0.1818
ood_peak,shift_unbounded,m1,q_top_peak,6,0.04653369082025543,0.942857142857143,False,1:0.1743;2:0.1790;3:0.2023;4:0.3124;5:0.2890;6:0.4120
ood_peak,shift_unbounded,m1,q_top_peak_time,6,0.034538368956450995,1.0,True,0:0.1766;3:0.1918;4:0.2250;5:0.2982;6:0.3075;7:0.4411
ood_peak,shift_unbounded,m2_data,joint_forcing_x_Ks,2,-0.6103799006283313,-0.9999999999999999,False,1:0.7437;2:0.1333
ood_peak,shift_unbounded,m2_data,q_top_peak,6,0.061187007050180944,0.942857142857143,False,1:0.0690;2:0.0796;3:0.0925;4:0.2366;5:0.2290;6:0.3788
ood_peak,shift_unbounded,m2_data,q_top_peak_time,6,0.02152600064938735,0.942857142857143,False,0:0.0762;3:0.0788;4:0.1559;5:0.2004;6:0.1809;7:0.2118
ood_peak,shift_unbounded,m2_score,joint_forcing_x_Ks,2,-0.6315601436581286,-0.9999999999999999,False,1:0.7496;2:0.1180
ood_peak,shift_unbounded,m2_score,q_top_peak,3,0.0706654367145839,0.5,False,4:0.2501;5:0.2388;6:0.3915
ood_peak,shift_unbounded,m2_score,q_top_peak_time,4,0.005622252318308862,0.39999999999999997,False,4:0.1703;5:0.2153;6:0.1894;7:0.1977
ood_peak,shift_unbounded_historical,m1,joint_forcing_x_Ks,2,-0.5382822774756552,-0.9999999999999999,False,1:0.6325;2:0.0942
ood_peak,shift_unbounded_historical,m1,q_top_peak,3,0.039530522785459994,0.5,False,4:0.1951;5:0.1896;6:0.2742
ood_peak,shift_unbounded_historical,m1,q_top_peak_time,4,-0.006862228243696985,0.0,False,4:0.1563;5:0.2083;6:0.1237;7:0.1617
ood_peak,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,2,-0.5685089641948091,-0.9999999999999999,False,1:0.6624;2:0.0938
ood_peak,shift_unbounded_historical,m2_data,q_top_peak,3,0.028018836389016713,0.5,False,4:0.2110;5:0.1974;6:0.2671
ood_peak,shift_unbounded_historical,m2_data,q_top_peak_time,4,-0.0112626896393899,-0.6000000000000001,False,4:0.1693;5:0.1965;6:0.1374;7:0.1515
ood_peak,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,2,-0.5685089641948091,-0.9999999999999999,False,1:0.6624;2:0.0938
ood_peak,shift_unbounded_historical,m2_score,q_top_peak,3,0.028018836389016713,0.5,False,4:0.2110;5:0.1974;6:0.2671
ood_peak,shift_unbounded_historical,m2_score,q_top_peak_time,4,-0.0112626896393899,-0.6000000000000001,False,4:0.1693;5:0.1965;6:0.1374;7:0.1515
ood_peak_time,deeponet_baseline,m1,joint_forcing_x_Ks,2,-0.7491301343429995,-0.9999999999999999,False,1:0.8785;2:0.1294
ood_peak_time,deeponet_baseline,m1,q_top_peak,7,0.037501584923929875,0.9285714285714288,False,0:0.1065;1:0.0408;2:0.1453;3:0.1067;4:0.2148;5:0.2283;6:0.3083
ood_peak_time,deeponet_baseline,m1,q_top_peak_time,5,0.020826681933790316,0.7,False,3:0.1068;4:0.1870;5:0.2437;6:0.1947;7:0.2071
ood_peak_time,deeponet_baseline,m2_data,joint_forcing_x_Ks,2,-0.6444334658842892,-0.9999999999999999,False,1:0.7648;2:0.1204
ood_peak_time,deeponet_baseline,m2_data,q_top_peak,7,0.04055290868552284,0.8214285714285715,False,0:0.0940;1:0.0297;2:0.1068;3:0.0933;4:0.2121;5:0.2226;6:0.3087
ood_peak_time,deeponet_baseline,m2_data,q_top_peak_time,5,0.019855502045531295,0.49999999999999994,False,3:0.0929;4:0.1705;5:0.2251;6:0.1623;7:0.1963
ood_peak_time,deeponet_baseline,m2_score,joint_forcing_x_Ks,2,-0.6444334658842892,-0.9999999999999999,False,1:0.7648;2:0.1204
ood_peak_time,deeponet_baseline,m2_score,q_top_peak,7,0.04055290868552284,0.8214285714285715,False,0:0.0940;1:0.0297;2:0.1068;3:0.0933;4:0.2121;5:0.2226;6:0.3087
ood_peak_time,deeponet_baseline,m2_score,q_top_peak_time,5,0.019855502045531295,0.49999999999999994,False,3:0.0929;4:0.1705;5:0.2251;6:0.1623;7:0.1963
ood_peak_time,regshift_bounded,m1,joint_forcing_x_Ks,2,-0.5415199337313518,-0.9999999999999999,False,1:0.6489;2:0.1074
ood_peak_time,regshift_bounded,m1,q_top_peak,7,0.02515429441890352,0.7857142857142859,False,0:0.1053;1:0.0409;2:0.1068;3:0.0884;4:0.1777;5:0.1725;6:0.2287
ood_peak_time,regshift_bounded,m1,q_top_peak_time,5,0.013337869544706293,0.6,False,3:0.1032;4:0.1854;5:0.1709;6:0.1432;7:0.1910
ood_peak_time,regshift_bounded,m2_data,joint_forcing_x_Ks,2,-0.5429944573031162,-0.9999999999999999,False,1:0.6416;2:0.0986
ood_peak_time,regshift_bounded,m2_data,q_top_peak,7,0.025738105795506082,0.7500000000000002,False,0:0.1012;1:0.0356;2:0.0932;3:0.0951;4:0.1695;5:0.1642;6:0.2303
ood_peak_time,regshift_bounded,m2_data,q_top_peak_time,5,0.013313364451816058,0.6,False,3:0.0989;4:0.1834;5:0.1722;6:0.1016;7:0.2064
ood_peak_time,regshift_bounded,m2_phase2_score,joint_forcing_x_Ks,2,-0.6282288585154097,-0.9999999999999999,False,1:0.7316;2:0.1034
ood_peak_time,regshift_bounded,m2_phase2_score,q_top_peak,3,0.04879086068657811,1.0,True,4:0.1827;5:0.1922;6:0.2803
ood_peak_time,regshift_bounded,m2_phase2_score,q_top_peak_time,4,-0.0006915465396759109,0.0,False,4:0.1902;5:0.2308;6:0.1221;7:0.2242
ood_peak_time,regshift_bounded,m2_score,joint_forcing_x_Ks,2,-0.6282288585154097,-0.9999999999999999,False,1:0.7316;2:0.1034
ood_peak_time,regshift_bounded,m2_score,q_top_peak,3,0.04879086068657811,1.0,True,4:0.1827;5:0.1922;6:0.2803
ood_peak_time,regshift_bounded,m2_score,q_top_peak_time,4,-0.0006915465396759109,0.0,False,4:0.1902;5:0.2308;6:0.1221;7:0.2242
ood_peak_time,shift_unbounded_historical,m1,joint_forcing_x_Ks,2,-0.45906327635818617,-0.9999999999999999,False,1:0.6251;2:0.1660
ood_peak_time,shift_unbounded_historical,m1,q_top_peak,3,0.0498640141271885,0.5,False,4:0.2123;5:0.1646;6:0.3120
ood_peak_time,shift_unbounded_historical,m1,q_top_peak_time,4,-0.003327452801505417,0.0,False,4:0.1938;5:0.2045;6:0.1673;7:0.1951
ood_peak_time,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,2,-0.3760937333122305,-0.9999999999999999,False,1:0.5297;2:0.1536
ood_peak_time,shift_unbounded_historical,m2_data,q_top_peak,3,0.06114407932404185,0.5,False,4:0.2026;5:0.1645;6:0.3249
ood_peak_time,shift_unbounded_historical,m2_data,q_top_peak_time,4,0.0003785868884180613,0.19999999999999998,False,4:0.1885;5:0.1830;6:0.1625;7:0.1966
ood_peak_time,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,2,-0.3760937333122305,-0.9999999999999999,False,1:0.5297;2:0.1536
ood_peak_time,shift_unbounded_historical,m2_score,q_top_peak,3,0.06114407932404185,0.5,False,4:0.2026;5:0.1645;6:0.3249
ood_peak_time,shift_unbounded_historical,m2_score,q_top_peak_time,4,0.0003785868884180613,0.19999999999999998,False,4:0.1885;5:0.1830;6:0.1625;7:0.1966
