part,run_key,scenario,family,model,axis,severity_bin,severity_rank,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_time_s42,ood_peak_time,shift_unbounded_historical,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.2581931876707619,0.23840360716927472,0.1535926413307737,0.0981065379816047,2.4
B,e6e8_eval__E8_joint_shift_v1__regshift_iid_s42,iid,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.3334131651674139,0.3402089664883469,0.35709127956813275,0.2799714022860454,
B,e6e8_eval__E8_joint_shift_v1__regshift_iid_s42,iid,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.2703134883911805,0.26327113285005577,0.1281011161139637,0.10325850854417952,2.1333333333333333
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_peak_s42,ood_peak,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4167067637896318,0.3733936358974568,0.6623579727369211,0.5648497011055412,
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_peak_s42,ood_peak,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.22231884907729113,0.2211241863703474,0.09384900854211188,0.05958322961995643,2.7333333333333334
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_time_s42,ood_peak_time,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.38135078419745466,0.319450210073423,0.5296863746430043,0.3891101872738207,
B,e6e8_eval__E8_joint_shift_v1__regshift_ood_time_s42,ood_peak_time,shift_unbounded_historical,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.2581931876707619,0.23840360716927472,0.1535926413307737,0.0981065379816047,2.4
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,peak_5.5,4,29,0.308422675165715,0.24090464848606274,0.20246707523425012,0.15605814679096489,2.8
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,peak_6.5,5,27,0.3155723203094712,0.2672620682814318,0.16369744067885503,0.1100099867159141,2.3333333333333335
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,peak_8.0,6,22,0.3943542142177524,0.3848671988936416,0.32865574229313416,0.23743120709292576,8.333333333333334
A,iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p00_p90,0,96,0.24861825676155633,0.20712853964440173,0.14590178791135813,0.09467911890947864,2.380952380952381
A,iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p90_p95,1,9,0.2201292900265842,0.18633338734297686,0.11448117159826879,0.07087238490525298,2.875
A,iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p95_p98,2,4,0.23642251381167625,0.20764375380818784,0.15437055603024158,0.1534881094766975,5.333333333333333
A,iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,p98_p100,3,3,0.3285673018608833,0.3824250512237167,0.15036068369860542,0.17368713062000088,6.333333333333333
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak,peak_5.5,4,29,0.7110204830081337,0.6470528855870944,0.8270713051485938,0.5377345100919848,8.44
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak,peak_6.5,5,27,0.6506776730527074,0.5706561855674035,0.5904911290966804,0.40265561695920554,9.5
B,e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak,peak_8.0,6,22,0.5512057434271147,0.5537571332618865,0.9776705838846156,0.6103889266850009,13.833333333333334
A,iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p00_p90,0,96,0.6109107946018751,0.5875744284886171,0.6602468444468642,0.4578974122271168,7.642857142857143
A,iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p90_p95,1,9,0.7849125877331853,0.7698685892549466,0.5629830112195566,0.4915728011718236,4.5
A,iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p95_p98,2,4,0.5522678124370224,0.577932189962029,0.7572442725414621,0.6664039937425772,13.333333333333334
A,iid_baseline,iid,deeponet_baseline,fno,q_top_peak,p98_p100,3,3,0.6637483095430353,0.7356604514532317,0.6449314217952986,0.5533527864346477,9.0
