run_key,scenario,family,model,axis,bin,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours,n_bt
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak_time,peaktime_47h,7,0.30527766107660403,0.322152505009458,0.19629056999932618,0.14361045400048258,11.5,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak_time,peaktime_44h,7,0.3099887389909514,0.2812788801981289,0.17050479711144678,0.15242207026657967,12.0,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak_time,peaktime_45h,8,0.2311765833134922,0.20050678864723545,0.22510692034170537,0.19856818269631055,13.666666666666666,6
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak_time,peaktime_46h,7,0.24368758581575717,0.25018253100977383,0.16232423844082983,0.1796287751349797,12.857142857142858,7
e6e8_eval__E6_extreme_peaktime_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,q_top_peak_time,peaktime_47h,7,0.30527766107660403,0.322152505009458,0.19629056999932618,0.14361045400048258,11.5,6
e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,9,0.3396119925082607,0.3571694760253449,0.8784942295733873,0.7303399112518777,,0
e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,15,0.29989566359543945,0.2714331361253971,0.12936409523038753,0.12172490390722082,4.533333333333333,15
e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,9,0.360931340078247,0.3691215599939049,0.7648213449106726,0.6132641172720719,,0
e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks40,15,0.2901988015739085,0.2688198322907062,0.12038787902638327,0.10444022410927647,4.2,15
e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks0.15,9,0.360931340078247,0.3691215599939049,0.7648213449106726,0.6132641172720719,,0
e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks40,15,0.2901988015739085,0.2688198322907062,0.12038787902638327,0.10444022410927647,4.2,15
