group,budget,scenario,run,model,seed,h_rel_l2_median,c_rel_l2_median,h_rel_l2_mean,c_rel_l2_mean,front_error_mean_cm,bt_mae_hours,stop_epoch,best_epoch,train_wallclock_min
E1_parity,high,ood_peak_time,e1_deeponet_highbudget_ood_peak_time_s123,m2_data,123,0.2070,0.0731,0.2065,0.1119,4.9125,4.9077,2200,200,5.7038
E1_parity,high,ood_peak_time,e1_deeponet_highbudget_ood_peak_time_s42,m1,42,0.2231,0.0767,0.2336,0.1068,5.0312,7.1538,3600,1600,9.4607
E1_parity,high,ood_peak_time,e1_deeponet_highbudget_ood_peak_time_s42,m2_data,42,0.2125,0.0683,0.2223,0.0929,4.4759,6.6308,2100,100,7.9537
E1_parity,high,ood_peak_time,e1_deeponet_highbudget_ood_peak_time_s456,m1,456,0.2136,0.0678,0.2377,0.1165,5.1445,4.8000,4000,2000,10.7348
E1_parity,high,ood_peak_time,e1_deeponet_highbudget_ood_peak_time_s456,m2_data,456,0.2066,0.0676,0.2312,0.1127,4.5663,5.1692,2200,200,11.3242
E1_parity,high,iid,e1_fnn_highbudget_iid_s123,fnn,123,0.2155,0.1004,0.2601,0.1507,6.6826,3.1939,4200,2200,24.8012
E1_parity,high,iid,e1_fnn_highbudget_iid_s42,fnn,42,0.2381,0.1016,0.2539,0.1540,6.4250,2.9592,4300,2300,26.4308
E1_parity,high,iid,e1_fnn_highbudget_iid_s456,fnn,456,0.2108,0.1030,0.2484,0.1490,6.3805,3.0408,4700,2700,29.5998
E1_parity,high,ood_peak,e1_fnn_highbudget_ood_peak_s123,fnn,123,0.2067,0.1201,0.2761,0.1743,8.4281,2.6250,4800,2800,15.6190
E1_parity,high,ood_peak,e1_fnn_highbudget_ood_peak_s42,fnn,42,0.2085,0.1009,0.2513,0.1631,7.4069,2.7385,4600,2600,20.4634
E1_parity,high,ood_peak,e1_fnn_highbudget_ood_peak_s456,fnn,456,0.2174,0.1039,0.2568,0.1600,7.3966,2.0923,5000,3700,27.6842
E1_parity,high,ood_peak_time,e1_fnn_highbudget_ood_peak_time_s123,fnn,123,0.2202,0.1109,0.2551,0.1688,6.8134,2.6923,3100,1100,19.0251
E1_parity,high,ood_peak_time,e1_fnn_highbudget_ood_peak_time_s42,fnn,42,0.2230,0.1077,0.2541,0.1728,6.8021,2.7692,4600,2600,28.0897
E1_parity,high,ood_peak_time,e1_fnn_highbudget_ood_peak_time_s456,fnn,456,0.2342,0.1013,0.2570,0.1708,6.9993,3.3538,3700,1700,23.3443
E1_parity,low,iid,e1_regshift_lowbudget_iid_s123,m1,123,0.3532,0.1700,0.3717,0.1977,9.5758,9.6020,1400,600,9.4511
E1_parity,low,iid,e1_regshift_lowbudget_iid_s123,m2_data,123,0.2105,0.0656,0.2274,0.0985,4.5926,5.8367,1500,700,28.2041
E1_parity,low,iid,e1_regshift_lowbudget_iid_s42,m1,42,0.3720,0.2114,0.4096,0.2563,10.2950,12.0000,1300,500,8.7627
E1_parity,low,iid,e1_regshift_lowbudget_iid_s42,m2_data,42,0.2117,0.0740,0.2224,0.1004,4.5023,5.6122,1500,700,28.2044
E1_parity,low,iid,e1_regshift_lowbudget_iid_s456,m1,456,0.3876,0.2390,0.4032,0.2832,16.5542,13.6939,1300,500,8.7696
E1_parity,low,iid,e1_regshift_lowbudget_iid_s456,m2_data,456,0.2281,0.0908,0.2360,0.1183,4.8665,10.1531,,,
E1_parity,low,ood_peak,e1_regshift_lowbudget_ood_peak_s123,m1,123,0.3900,0.1987,0.4327,0.2342,9.3034,11.8000,1300,500,9.0588
E1_parity,low,ood_peak,e1_regshift_lowbudget_ood_peak_s123,m2_data,123,0.1941,0.0756,0.2270,0.0973,4.4971,7.0615,1500,700,28.9542
E1_parity,low,ood_peak,e1_regshift_lowbudget_ood_peak_s42,m1,42,0.3952,0.2433,0.4165,0.3075,8.4788,12.5077,1300,500,9.0228
E1_parity,low,ood_peak,e1_regshift_lowbudget_ood_peak_s42,m2_data,42,0.1983,0.0705,0.2233,0.0904,4.2583,6.5692,1500,700,28.9518
E1_parity,low,ood_peak,e1_regshift_lowbudget_ood_peak_s456,m1,456,0.3593,0.1405,0.3759,0.1756,8.3377,8.4462,2000,2000,13.8789
E1_parity,low,ood_peak,e1_regshift_lowbudget_ood_peak_s456,m2_data,456,0.2474,0.0841,0.2617,0.1183,5.6276,5.8000,1300,500,22.3685
E1_parity,low,ood_peak_time,e1_regshift_lowbudget_ood_peak_time_s123,m1,123,0.3767,0.1870,0.4114,0.2790,11.7707,9.8769,1300,500,8.8011
E1_parity,low,ood_peak_time,e1_regshift_lowbudget_ood_peak_time_s123,m2_data,123,0.2125,0.0869,0.2490,0.1335,5.5854,10.4615,1200,400,18.6529
E1_parity,low,ood_peak_time,e1_regshift_lowbudget_ood_peak_time_s42,m1,42,0.3500,0.1793,0.3803,0.2666,11.9289,14.3692,1400,600,9.4785
E1_parity,low,ood_peak_time,e1_regshift_lowbudget_ood_peak_time_s42,m2_data,42,0.1836,0.0774,0.2087,0.1122,4.2869,7.0615,1500,700,28.3253
E1_parity,low,ood_peak_time,e1_regshift_lowbudget_ood_peak_time_s456,m1,456,0.2688,0.1305,0.2910,0.2006,9.1637,13.3538,1400,600,9.4653
E1_parity,low,ood_peak_time,e1_regshift_lowbudget_ood_peak_time_s456,m2_data,456,0.1758,0.0696,0.2023,0.1035,4.6545,6.0000,1400,600,25.0658
E1_parity,high,iid,e1_shift_highbudget_iid_s123,m1,123,0.2619,0.1311,0.2771,0.1715,9.7119,8.1224,2700,700,18.1881
E1_parity,high,iid,e1_shift_highbudget_iid_s123,m2_data,123,0.1955,0.0738,0.2115,0.0953,4.5192,3.0510,3700,1700,68.6847
E1_parity,high,iid,e1_shift_highbudget_iid_s42,m1,42,0.1634,0.0572,0.1885,0.0873,3.6857,2.9898,5000,3500,33.2738
E1_parity,high,iid,e1_shift_highbudget_iid_s42,m2_data,42,0.1580,0.0583,0.1852,0.0807,3.7550,2.7857,2100,1,17.3303
E1_parity,high,iid,e1_shift_highbudget_iid_s456,m1,456,0.1490,0.0529,0.1837,0.0749,3.4013,2.6939,5000,3200,33.4717
E1_parity,high,iid,e1_shift_highbudget_iid_s456,m2_data,456,0.1477,0.0514,0.1791,0.0671,2.9479,2.3673,2100,100,17.1933
E1_parity,high,ood_peak,e1_shift_highbudget_ood_peak_s123,m1,123,0.2854,0.1331,0.3129,0.1493,7.4677,11.8308,2700,700,18.5142
E1_parity,high,ood_peak,e1_shift_highbudget_ood_peak_s123,m2_data,123,0.2243,0.0855,0.2450,0.1067,5.6467,6.1077,2800,800,40.6057
E1_parity,high,ood_peak,e1_shift_highbudget_ood_peak_s42,m1,42,0.1700,0.0693,0.2004,0.0760,3.7164,2.5231,4200,2200,28.7589
E1_parity,high,ood_peak,e1_shift_highbudget_ood_peak_s42,m2_data,42,0.1573,0.0610,0.1873,0.0716,3.8629,2.8000,2100,100,17.9247
E1_parity,high,ood_peak,e1_shift_highbudget_ood_peak_s456,m1,456,0.1550,0.0609,0.1967,0.0738,3.8714,2.6615,5000,3300,34.2247
E1_parity,high,ood_peak,e1_shift_highbudget_ood_peak_s456,m2_data,456,0.1529,0.0630,0.1985,0.0771,4.1306,2.3846,2100,1,17.6804
E1_parity,high,ood_peak_time,e1_shift_highbudget_ood_peak_time_s123,m1,123,0.3009,0.1532,0.3540,0.2283,9.7103,11.1077,2600,600,10.4040
